# element	name	version
freedesktop-sdk.bst-components-autoconf.bst	autoconf	
freedesktop-sdk.bst-components-autoconf2.69.bst	autoconf2.69	
freedesktop-sdk.bst-components-automake.bst	automake	
freedesktop-sdk.bst-components-avahi-gobject.bst	avahi-gobject	
freedesktop-sdk.bst-components-avahi-libs.bst	avahi-libs	
freedesktop-sdk.bst-components-avahi-manifest.bst	avahi-manifest	
freedesktop-sdk.bst-components-avahi.bst	avahi	
freedesktop-sdk.bst-components-bash-completion.bst	bash-completion	
freedesktop-sdk.bst-components-bash-config.bst	bash-config	
freedesktop-sdk.bst-components-bc.bst	bc	
freedesktop-sdk.bst-components-binutils.bst	binutils	
freedesktop-sdk.bst-components-bison.bst	bison	
freedesktop-sdk.bst-components-bluez-headers.bst	bluez-headers	
freedesktop-sdk.bst-components-bluez-libs.bst	bluez-libs	
freedesktop-sdk.bst-components-bluez-manifest.bst	bluez-manifest	
freedesktop-sdk.bst-components-bluez.bst	bluez	
freedesktop-sdk.bst-components-bpf-maybe.bst	bpf-maybe	
freedesktop-sdk.bst-components-brotli.bst	brotli	
freedesktop-sdk.bst-components-btrfs-progs.bst	btrfs-progs	
freedesktop-sdk.bst-components-bubblewrap.bst	bubblewrap	
freedesktop-sdk.bst-components-buildbox.bst	buildbox	
freedesktop-sdk.bst-components-buildstream2.bst	buildstream2	
freedesktop-sdk.bst-components-bzip2.bst	bzip2	
freedesktop-sdk.bst-components-c-ares.bst	c-ares	
freedesktop-sdk.bst-components-ca-certificates.bst	ca-certificates	
freedesktop-sdk.bst-components-cargo-c.bst	cargo-c	
freedesktop-sdk.bst-components-catatonit.bst	catatonit	
freedesktop-sdk.bst-components-ccid.bst	ccid	
freedesktop-sdk.bst-components-clean-xml-catalog.bst	clean-xml-catalog	
freedesktop-sdk.bst-components-cmake.bst	cmake	
freedesktop-sdk.bst-components-compat-vulkan-link.bst	compat-vulkan-link	
freedesktop-sdk.bst-components-composefs.bst	composefs	
freedesktop-sdk.bst-components-conmon.bst	conmon	
freedesktop-sdk.bst-components-containers-common.bst	containers-common	
freedesktop-sdk.bst-components-cpio.bst	cpio	
freedesktop-sdk.bst-components-cracklib.bst	cracklib	
freedesktop-sdk.bst-components-crun.bst	crun	
freedesktop-sdk.bst-components-cryptsetup-manifest.bst	cryptsetup-manifest	
freedesktop-sdk.bst-components-cryptsetup.bst	cryptsetup	
freedesktop-sdk.bst-components-cunit.bst	cunit	
freedesktop-sdk.bst-components-cups-daemon-only.bst	cups-daemon-only	
freedesktop-sdk.bst-components-cups-daemon.bst	cups-daemon	
freedesktop-sdk.bst-components-cups-filters.bst	cups-filters	
freedesktop-sdk.bst-components-cups-manifest.bst	cups-manifest	
freedesktop-sdk.bst-components-cups.bst	cups	
freedesktop-sdk.bst-components-curl.bst	curl	
freedesktop-sdk.bst-components-cyrus-sasl.bst	cyrus-sasl	
freedesktop-sdk.bst-components-cython.bst	cython	
freedesktop-sdk.bst-components-dav1d.bst	dav1d	
freedesktop-sdk.bst-components-dbus-manifest.bst	dbus-manifest	
freedesktop-sdk.bst-components-dbus-tools.bst	dbus-tools	
freedesktop-sdk.bst-components-dbus.bst	dbus	
freedesktop-sdk.bst-components-debuginfod.bst	debuginfod	
freedesktop-sdk.bst-components-dejavu-fonts.bst	dejavu-fonts	
freedesktop-sdk.bst-components-desktop-file-utils.bst	desktop-file-utils	
freedesktop-sdk.bst-components-dictionaries.bst	dictionaries	
freedesktop-sdk.bst-components-diffutils.bst	diffutils	
freedesktop-sdk.bst-components-dmidecode.bst	dmidecode	
freedesktop-sdk.bst-components-docbook-xml.bst	docbook-xml	
freedesktop-sdk.bst-components-docbook-xsl.bst	docbook-xsl	
freedesktop-sdk.bst-components-docbook5-xml.bst	docbook5-xml	
freedesktop-sdk.bst-components-docbook5-xsl.bst	docbook5-xsl	
freedesktop-sdk.bst-components-dosfstools.bst	dosfstools	
freedesktop-sdk.bst-components-doxygen.bst	doxygen	
freedesktop-sdk.bst-components-dtc.bst	dtc	
freedesktop-sdk.bst-components-duktape.bst	duktape	
freedesktop-sdk.bst-components-dummy-gbm.bst	dummy-gbm	
freedesktop-sdk.bst-components-e2fsprogs.bst	e2fsprogs	
freedesktop-sdk.bst-components-ed.bst	ed	
freedesktop-sdk.bst-components-efivar.bst	efivar	
freedesktop-sdk.bst-components-elfutils.bst	elfutils	
freedesktop-sdk.bst-components-ell.bst	ell	
freedesktop-sdk.bst-components-erofs-utils.bst	erofs-utils	
freedesktop-sdk.bst-components-exfat-progs.bst	exfat-progs	
freedesktop-sdk.bst-components-expat.bst	expat	
freedesktop-sdk.bst-components-extra-cmake-modules.bst	extra-cmake-modules	
freedesktop-sdk.bst-components-f2fs-tools.bst	f2fs-tools	
freedesktop-sdk.bst-components-fakecap.bst	fakecap	
freedesktop-sdk.bst-components-fdsdk-lic-dedup.bst	fdsdk-lic-dedup	
freedesktop-sdk.bst-components-ffmpeg.bst	ffmpeg	
freedesktop-sdk.bst-components-fftw.bst	fftw	
freedesktop-sdk.bst-components-file.bst	file	
freedesktop-sdk.bst-components-findutils.bst	findutils	
freedesktop-sdk.bst-components-flatpak-builder.bst	flatpak-builder	
freedesktop-sdk.bst-components-flatpak-minimal.bst	flatpak-minimal	
freedesktop-sdk.bst-components-flatpak-xdg-utils.bst	flatpak-xdg-utils	
freedesktop-sdk.bst-components-flex.bst	flex	
freedesktop-sdk.bst-components-fmtlib.bst	fmtlib	
freedesktop-sdk.bst-components-fontconfig.bst	fontconfig	
freedesktop-sdk.bst-components-foomatic-db.bst	foomatic-db	
freedesktop-sdk.bst-components-freetype.bst	freetype	
freedesktop-sdk.bst-components-frei0r.bst	frei0r	
freedesktop-sdk.bst-components-fribidi.bst	fribidi	
freedesktop-sdk.bst-components-fuse-overlayfs.bst	fuse-overlayfs	
freedesktop-sdk.bst-components-fuse3.bst	fuse3	
freedesktop-sdk.bst-components-gamemode-manifest.bst	gamemode-manifest	
freedesktop-sdk.bst-components-gawk.bst	gawk	
freedesktop-sdk.bst-components-gcc-libs.bst	gcc-libs	
freedesktop-sdk.bst-components-gcc-manifest.bst	gcc-manifest	
freedesktop-sdk.bst-components-gcc.bst	gcc	
freedesktop-sdk.bst-components-gdb.bst	gdb	
freedesktop-sdk.bst-components-gdbm.bst	gdbm	
freedesktop-sdk.bst-components-genpeimg.bst	genpeimg	
freedesktop-sdk.bst-components-geoclue-libs.bst	geoclue-libs	
freedesktop-sdk.bst-components-geoclue-manifest.bst	geoclue-manifest	
freedesktop-sdk.bst-components-geoclue.bst	geoclue	
freedesktop-sdk.bst-components-gettext.bst	gettext	
freedesktop-sdk.bst-components-gflags.bst	gflags	
freedesktop-sdk.bst-components-ghostscript.bst	ghostscript	
freedesktop-sdk.bst-components-giflib.bst	giflib	
freedesktop-sdk.bst-components-git-lfs.bst	git-lfs	
freedesktop-sdk.bst-components-git.bst	git	
freedesktop-sdk.bst-components-glibc-gconv-cache.bst	glibc-gconv-cache	
freedesktop-sdk.bst-components-glslang.bst	glslang	
freedesktop-sdk.bst-components-gmp.bst	gmp	
freedesktop-sdk.bst-components-gnu-efi-maybe.bst	gnu-efi-maybe	
freedesktop-sdk.bst-components-gnu-free-fonts.bst	gnu-free-fonts	
freedesktop-sdk.bst-components-gnupg.bst	gnupg	
freedesktop-sdk.bst-components-gnutls.bst	gnutls	
freedesktop-sdk.bst-components-go-md2man.bst	go-md2man	
freedesktop-sdk.bst-components-go.bst	go	
freedesktop-sdk.bst-components-google-crosextra-caladea.bst	google-crosextra-caladea	
freedesktop-sdk.bst-components-google-crosextra-carlito.bst	google-crosextra-carlito	
freedesktop-sdk.bst-components-gperf.bst	gperf	
freedesktop-sdk.bst-components-gpgme.bst	gpgme	
freedesktop-sdk.bst-components-gpgmepp.bst	gpgmepp	
freedesktop-sdk.bst-components-graphite2.bst	graphite2	
freedesktop-sdk.bst-components-grep.bst	grep	
freedesktop-sdk.bst-components-groff.bst	groff	
freedesktop-sdk.bst-components-grpc.bst	grpc	
freedesktop-sdk.bst-components-gstreamer-libav.bst	gstreamer-libav	
freedesktop-sdk.bst-components-gstreamer-plugins-bad.bst	gstreamer-plugins-bad	
freedesktop-sdk.bst-components-gstreamer-plugins-base.bst	gstreamer-plugins-base	
freedesktop-sdk.bst-components-gstreamer-plugins-good.bst	gstreamer-plugins-good	
freedesktop-sdk.bst-components-gstreamer-plugins-rs.bst	gstreamer-plugins-rs	
